ALV-5000/E-WIN Data
Date :	"19.08.2013"
Time :	"13:39:35"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	        10
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     117.79320
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  7.77936E-001
  4.00000E-004	  5.62679E-001
  6.00000E-004	  4.87972E-001
  8.00000E-004	  4.83364E-001
  1.00000E-003	  4.63721E-001
  1.20000E-003	  4.40797E-001
  1.40000E-003	  4.57199E-001
  1.60000E-003	  4.27753E-001
  1.80000E-003	  4.21388E-001
  2.00000E-003	  4.21427E-001
  2.20000E-003	  4.16663E-001
  2.40000E-003	  3.94520E-001
  2.60000E-003	  3.91903E-001
  2.80000E-003	  4.01276E-001
  3.00000E-003	  3.89873E-001
  3.20000E-003	  3.77931E-001
  3.60000E-003	  3.69398E-001
  4.00000E-003	  3.62876E-001
  4.40000E-003	  3.55320E-001
  4.80000E-003	  3.44600E-001
  5.20000E-003	  3.36770E-001
  5.60000E-003	  3.38898E-001
  6.00000E-003	  3.39894E-001
  6.40000E-003	  3.26161E-001
  7.20000E-003	  3.21612E-001
  8.00000E-003	  3.14192E-001
  8.80000E-003	  3.03199E-001
  9.60000E-003	  2.91991E-001
  1.04000E-002	  2.89998E-001
  1.12000E-002	  2.89061E-001
  1.20000E-002	  2.78027E-001
  1.28000E-002	  2.78250E-001
  1.44000E-002	  2.65934E-001
  1.60000E-002	  2.62083E-001
  1.76000E-002	  2.52983E-001
  1.92000E-002	  2.51178E-001
  2.08000E-002	  2.48371E-001
  2.24000E-002	  2.42587E-001
  2.40000E-002	  2.39360E-001
  2.56000E-002	  2.37890E-001
  2.88000E-002	  2.31400E-001
  3.20000E-002	  2.29252E-001
  3.52000E-002	  2.25405E-001
  3.84000E-002	  2.21831E-001
  4.16000E-002	  2.17407E-001
  4.48000E-002	  2.21708E-001
  4.80000E-002	  2.17840E-001
  5.12000E-002	  2.15613E-001
  5.76000E-002	  2.10900E-001
  6.40000E-002	  2.06720E-001
  7.04000E-002	  2.06008E-001
  7.68000E-002	  2.00960E-001
  8.32000E-002	  2.01824E-001
  8.96000E-002	  2.01126E-001
  9.60000E-002	  2.00594E-001
  1.02400E-001	  1.97994E-001
  1.15200E-001	  1.94586E-001
  1.28000E-001	  1.90277E-001
  1.40800E-001	  1.84606E-001
  1.53600E-001	  1.82654E-001
  1.66400E-001	  1.80212E-001
  1.79200E-001	  1.77831E-001
  1.92000E-001	  1.75256E-001
  2.04800E-001	  1.72470E-001
  2.30400E-001	  1.66539E-001
  2.56000E-001	  1.63876E-001
  2.81600E-001	  1.58595E-001
  3.07200E-001	  1.55267E-001
  3.32800E-001	  1.50669E-001
  3.58400E-001	  1.45789E-001
  3.84000E-001	  1.42163E-001
  4.09600E-001	  1.38300E-001
  4.60800E-001	  1.32860E-001
  5.12000E-001	  1.25858E-001
  5.63200E-001	  1.20177E-001
  6.14400E-001	  1.15573E-001
  6.65600E-001	  1.10690E-001
  7.16800E-001	  1.06803E-001
  7.68000E-001	  1.03968E-001
  8.19200E-001	  1.00406E-001
  9.21600E-001	  9.38137E-002
  1.02400E+000	  8.80945E-002
  1.12640E+000	  8.24763E-002
  1.22880E+000	  7.89267E-002
  1.33120E+000	  7.60630E-002
  1.43360E+000	  7.31616E-002
  1.53600E+000	  6.88008E-002
  1.63840E+000	  6.61798E-002
  1.84320E+000	  6.02584E-002
  2.04800E+000	  5.40384E-002
  2.25280E+000	  5.05385E-002
  2.45760E+000	  4.73315E-002
  2.66240E+000	  4.25822E-002
  2.86720E+000	  4.00319E-002
  3.07200E+000	  3.75255E-002
  3.22560E+000	  3.64767E-002
  3.63520E+000	  3.31529E-002
  4.04480E+000	  3.09835E-002
  4.45440E+000	  2.84191E-002
  4.86400E+000	  2.52659E-002
  5.27360E+000	  2.46241E-002
