ALV-5000/E-WIN Data
Date :	"19.08.2013"
Time :	"13:37:44"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	         5
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     120.07671
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  8.05774E-001
  4.00000E-004	  5.63375E-001
  6.00000E-004	  5.16324E-001
  8.00000E-004	  4.89791E-001
  1.00000E-003	  4.68370E-001
  1.20000E-003	  4.59276E-001
  1.40000E-003	  4.65213E-001
  1.60000E-003	  4.39433E-001
  1.80000E-003	  4.35750E-001
  2.00000E-003	  4.17110E-001
  2.20000E-003	  3.98244E-001
  2.40000E-003	  4.26881E-001
  2.60000E-003	  4.27482E-001
  2.80000E-003	  3.96891E-001
  3.00000E-003	  3.93283E-001
  3.20000E-003	  3.98239E-001
  3.60000E-003	  3.84522E-001
  4.00000E-003	  3.76592E-001
  4.40000E-003	  3.59450E-001
  4.80000E-003	  3.48476E-001
  5.20000E-003	  3.49152E-001
  5.60000E-003	  3.46860E-001
  6.00000E-003	  3.45056E-001
  6.40000E-003	  3.43484E-001
  7.20000E-003	  3.23547E-001
  8.00000E-003	  3.18119E-001
  8.80000E-003	  3.00756E-001
  9.60000E-003	  2.98445E-001
  1.04000E-002	  2.93878E-001
  1.12000E-002	  2.85554E-001
  1.20000E-002	  2.90327E-001
  1.28000E-002	  2.83253E-001
  1.44000E-002	  2.64998E-001
  1.60000E-002	  2.51158E-001
  1.76000E-002	  2.57106E-001
  1.92000E-002	  2.51196E-001
  2.08000E-002	  2.45812E-001
  2.24000E-002	  2.36192E-001
  2.40000E-002	  2.36511E-001
  2.56000E-002	  2.33397E-001
  2.88000E-002	  2.31459E-001
  3.20000E-002	  2.26292E-001
  3.52000E-002	  2.29564E-001
  3.84000E-002	  2.23085E-001
  4.16000E-002	  2.21582E-001
  4.48000E-002	  2.20210E-001
  4.80000E-002	  2.15672E-001
  5.12000E-002	  2.17102E-001
  5.76000E-002	  2.14756E-001
  6.40000E-002	  2.11381E-001
  7.04000E-002	  2.08919E-001
  7.68000E-002	  2.07421E-001
  8.32000E-002	  2.04318E-001
  8.96000E-002	  2.01354E-001
  9.60000E-002	  2.02591E-001
  1.02400E-001	  2.02408E-001
  1.15200E-001	  1.99103E-001
  1.28000E-001	  1.93667E-001
  1.40800E-001	  1.88457E-001
  1.53600E-001	  1.83691E-001
  1.66400E-001	  1.85296E-001
  1.79200E-001	  1.79897E-001
  1.92000E-001	  1.80729E-001
  2.04800E-001	  1.76724E-001
  2.30400E-001	  1.72537E-001
  2.56000E-001	  1.66686E-001
  2.81600E-001	  1.61266E-001
  3.07200E-001	  1.55742E-001
  3.32800E-001	  1.54487E-001
  3.58400E-001	  1.48237E-001
  3.84000E-001	  1.45408E-001
  4.09600E-001	  1.41936E-001
  4.60800E-001	  1.37348E-001
  5.12000E-001	  1.30592E-001
  5.63200E-001	  1.25700E-001
  6.14400E-001	  1.19525E-001
  6.65600E-001	  1.15667E-001
  7.16800E-001	  1.12166E-001
  7.68000E-001	  1.07876E-001
  8.19200E-001	  1.04993E-001
  9.21600E-001	  9.82515E-002
  1.02400E+000	  9.15302E-002
  1.12640E+000	  8.46372E-002
  1.22880E+000	  7.92357E-002
  1.33120E+000	  7.41756E-002
  1.43360E+000	  6.99966E-002
  1.53600E+000	  6.67134E-002
  1.63840E+000	  6.26734E-002
  1.84320E+000	  5.70410E-002
  2.04800E+000	  5.30391E-002
  2.25280E+000	  4.87611E-002
  2.45760E+000	  4.48919E-002
  2.66240E+000	  4.36312E-002
  2.86720E+000	  4.06304E-002
  3.07200E+000	  3.80449E-002
  3.22560E+000	  3.70938E-002
  3.63520E+000	  3.13371E-002
  4.04480E+000	  2.70091E-002
  4.45440E+000	  2.39192E-002
  4.86400E+000	  2.08747E-002
  5.27360E+000	  1.94691E-002
  5.68320E+000	  1.79974E-002
  6.09280E+000	  1.55741E-002
  6.50240E+000	  1.54291E-002
  7.32160E+000	  1.61495E-002
  8.14080E+000	  1.79707E-002
  8.96000E+000	  1.67506E-002
  9.77920E+000	  1.60732E-002
  1.05984E+001	  1.34412E-002
  1.14176E+001	  1.11963E-002
  1.22368E+001	  8.19889E-003
  1.30560E+001	  1.05925E-002
  1.46944E+001	  7.32229E-003
  1.63328E+001	  8.15805E-003
  1.79712E+001	  9.16411E-003
  1.96096E+001	  7.11451E-003
  2.12480E+001	  6.74968E-003
  2.28864E+001	  5.17910E-003
  2.45248E+001	  1.91262E-003
  2.61632E+001	  2.88453E-003
  2.94400E+001	  6.32558E-003
  3.27168E+001	  4.26291E-003
  3.59936E+001	  9.70187E-004
  3.92704E+001	 -3.33794E-004
  4.25472E+001	  1.46629E-004
  4.58240E+001	 -1.34034E-003
