# AlexData of ../../../../../../data/Kati/2014/7 jan 2014/ALEX oligo1 10min.t3r
# BurstSearchParameters:	burstSearchMethodSingle=0	burstSearchMethodDual=2	channel selection=0	M=3	L=40	T=0.0005	LeeWinSize=8	LeeVar=5e-06	MaxIPT=0.00012	MinBurstrate=15000	MaxBurstrate=100000	MinBurstSize=40	MinBurstSizeDex=0	MinBurstSizeAex=0	MaxDuration=0.01	
# FRETparameters:	MaxS=0.798893	MinS=0.302952	MaxPR=0.919731	MinPR=0.491928	MaxTgTr=5	MinTgTr=-5	gamma=1	crosstalk=0.03	directExc=0.03	scaleDonor=1	bg_Dem_Dex=389.7	bg_Aem_Dex=471.18	bg_Dem_Aex=127.37	bg_Aem_Aex=700.31	dutyCycleDex=0.549987	dutyCycleAex=0.450013	
# 2885 bursts were analyzed.
# startTime	duration	proximityRatio	stoichiometryRatio	numberOfPhotons	n_Dem_Dex	n_Aem_Dex	n_Dem_Aex	n_Aem_Aex	durationDonor	durationAcceptor	proximityRatioRaw	stoichiometryRatioRaw	type	startIdxDonor	startIdxAcceptor	startIdx	stoichiometryFraction
0.280895	0.0010411	0.606079	0.319321	56	7	12	0	37	0	-0.0010389	0.631579	0.339286	1	419	420	419	0.469122
0.372327	0.0011484	0.672757	0.560594	44	8	17	1	18	-0.0004369	-0.0007886	0.68	0.568182	1	673	671	671	1.2758
0.393068	0.00088	0.763547	0.46993	54	6	20	0	28	0	-0.0001438	0.769231	0.481481	1	757	753	753	0.886542
1.84816	0.0010402	0.0609522	0.961081	45	39	4	0	2	0	-0.0012221	0.0930233	0.955556	1	3404	3412	3404	24.6947
1.87148	0.004012	0.632437	0.60669	173	38	68	1	66	0	-0.0020635	0.641509	0.612717	1	3496	3498	3496	1.54253
2.23197	0.0014162	0.342179	0.529987	59	20	12	0	27	0	-0.0003685	0.375	0.542373	1	4414	4410	4410	1.1276
2.41945	0.0024081	0.643356	0.466166	54	9	17	0	28	0	-4.91e-005	0.653846	0.481481	1	4821	4805	4805	0.873243
2.54155	0.0010888	0.814034	0.520034	51	5	22	0	24	0	-0.0003375	0.814815	0.529412	1	5105	5096	5096	1.08348
2.57535	0.002944	0.307256	0.607368	86	35	18	0	33	-0.001558	-0.0008853	0.339623	0.616279	1	5235	5234	5234	1.54691
2.57937	0.0021052	0.552786	0.711642	77	24	31	0	22	0	-0.0002501	0.563636	0.714286	1	5320	5319	5319	2.46791
2.67009	0.0031006	0.632258	0.575729	216	45	81	1	89	0	-0.0002323	0.642857	0.583333	1	5687	5688	5687	1.35698
2.72186	0.0020093	0.857684	0.10427	41	1	5	0	35	0	-0.0002685	0.833333	0.146341	1	6053	6020	6020	0.116408
3.18383	0.0041623	0.687654	0.588997	109	20	45	0	44	-0.0007774	-0.000282	0.692308	0.59633	1	6969	6965	6965	1.43307
3.18918	0.0007725	0.685018	0.708597	59	13	29	0	17	0	-0.0002979	0.690476	0.711864	1	7077	7074	7074	2.43168
3.27265	0.0012868	1.08589	0.0750176	45	0	5	0	40	0	-0.0017136	1	0.111111	1	7315	7270	7270	0.0811016
3.78056	0.0021334	0.0904465	0.951508	51	42	6	0	3	-0.0002247	-0.0011086	0.125	0.941176	1	7949	7948	7948	19.6222
3.79879	0.0049143	-0.00547653	0.75752	112	81	4	0	27	0	-0.0005675	0.0470588	0.758929	1	8027	8026	8026	3.12406
3.82694	0.0025486	0.822376	0.675087	65	8	36	0	21	0	-0.0006917	0.818182	0.676923	1	8179	8171	8171	2.07774
4.13077	0.004989	0.689829	0.519523	130	21	48	0	61	-0.0010073	-0.002815	0.695652	0.530769	1	8872	8873	8872	1.08126
4.60437	0.0018705	0.702907	0.487647	62	9	22	0	31	0	-0.0001405	0.709677	0.5	1	9834	9828	9828	0.951779
4.61104	0.0017695	0.727815	0.587101	69	11	30	0	28	0	-0.0004055	0.731707	0.594203	1	9921	9911	9911	1.4219
4.71128	0.0028121	0.697289	0.516379	194	30	72	2	90	0	-8.13e-005	0.705882	0.525773	1	10236	10233	10233	1.06773
4.7806	0.0028075	0.859324	0.774267	43	5	28	0	10	-0.0009827	-0.0001691	0.848485	0.767442	1	10550	10549	10549	3.43001
4.91929	0.0017934	0.79127	0.0695864	45	1	4	0	40	0	-0.0005503	0.8	0.111111	1	10976	10935	10935	0.0747908
5.14831	0.0028679	0.196862	0.776528	44	26	8	0	10	0	-5.26e-005	0.235294	0.772727	1	11400	11396	11396	3.47483
5.15167	0.0014513	-0.0468948	0.84959	46	39	0	0	7	-0.0001682	-0.0013786	0	0.847826	1	11439	11440	11439	5.64848
5.67107	0.0027461	0.652458	0.570003	102	20	39	0	43	-0.0024493	-0.0033214	0.661017	0.578431	1	12332	12333	12332	1.3256
5.7172	0.0017753	0.823993	0.473928	70	6	28	0	36	0	-0.0004057	0.823529	0.485714	1	12576	12569	12569	0.90088
5.72369	0.0022463	0.442777	0.662303	172	62	53	0	57	0	-3.14e-005	0.46087	0.668605	1	12674	12648	12648	1.96124
5.86133	0.0021596	0.650165	0.655628	44	10	19	0	15	0	-0.0006254	0.655172	0.659091	1	13077	13075	13075	1.90384
5.86845	0.0013914	0.954261	0.320287	50	1	16	0	33	0	-0.0024373	0.941176	0.34	1	13133	13134	13133	0.47121
5.87145	0.0008361	0.771171	0.590293	52	7	24	1	20	0	-0.0012508	0.774194	0.596154	1	13200	13182	13182	1.44077
5.9253	0.0025367	0.678708	0.5859	91	17	37	0	37	-0.0024066	-0.0022997	0.685185	0.593407	1	13455	13452	13452	1.41487
6.08982	0.0027188	0.94366	0.594715	45	2	25	0	18	0	-0.0001933	0.925926	0.6	1	13904	13902	13902	1.4674
6.30928	0.002089	0.871871	0.413387	70	4	26	0	40	0	-6.62e-005	0.866667	0.428571	1	14431	14414	14414	0.704701
6.31307	0.0020437	0.852107	0.281889	89	4	23	0	62	0	-0.0012838	0.851852	0.303371	1	14491	14483	14483	0.392543
6.31958	0.0011329	0.79942	0.475728	41	4	16	0	21	0	-0.0009262	0.8	0.487805	1	14606	14602	14602	0.907408
6.42533	0.0066694	0.730981	0.507318	338	46	129	0	163	-0.0009755	-0.0003344	0.737143	0.517751	1	14879	14864	14864	1.02971
6.46329	0.0008049	0.724939	0.556939	46	7	19	0	20	0	-0.0004291	0.730769	0.565217	1	15353	15351	15351	1.25703
6.88158	0.0018413	0.733138	0.405374	45	5	14	1	25	-0.0014653	-0.0015974	0.736842	0.422222	1	16018	16017	16017	0.68173
7.31224	0.0013645	0.834157	0.507288	58	5	25	0	28	0	-0.0001655	0.833333	0.517241	1	16767	16721	16721	1.02958
7.69763	0.0020686	0.918087	0.363821	55	2	19	1	33	0	-0.0007697	0.904762	0.381818	1	17412	17392	17392	0.571884
8.31664	0.0029595	0.594913	0.153462	91	6	11	0	74	-0.0025748	-0.0008264	0.647059	0.186813	1	18556	18532	18532	0.181282
8.35991	0.0009496	0.756609	0.547964	45	6	19	1	19	0	-0.0003448	0.76	0.555556	1	18720	18688	18688	1.21221
8.36868	0.0018076	1.38632	0.0254319	42	0	3	0	39	0	-0.0007259	1	0.0714286	1	18803	18751	18751	0.0260956
8.47836	0.0017232	-0.00075949	0.972536	56	52	2	0	2	-1.46e-005	-0.0019177	0.037037	0.964286	1	19026	19067	19026	35.4109
8.93205	0.0021133	0.948812	0.553971	57	2	30	0	25	-0.0012374	-0.0053949	0.9375	0.561404	1	19901	19902	19901	1.24201
9.07491	0.0007815	0.639735	0.439873	64	10	19	0	35	0	-0.0014766	0.655172	0.453125	1	20321	20322	20321	0.785309
9.46405	0.0026109	0.712654	0.514309	143	21	54	0	68	0	-0.0003377	0.72	0.524476	1	21290	21283	21283	1.05892
9.57538	0.0020863	0.343438	0.851088	52	28	16	0	8	0	-0.0002673	0.363636	0.846154	1	21592	21591	21591	5.7154
9.91729	0.0029014	0.742661	0.558958	104	15	44	0	45	-0.0015842	-0.0015565	0.745763	0.567308	1	22268	22261	22261	1.26736
10.3615	0.0021433	0.287307	0.495756	41	14	7	0	20	-0.0004069	-0.002957	0.333333	0.512195	1	23122	23123	23122	0.983167
10.3697	0.0017308	0.748681	0.522676	45	6	18	0	21	0	-0.0008479	0.75	0.533333	1	23172	23173	23172	1.09501
10.4279	0.0020266	0.517127	0.539131	51	13	15	1	22	0	-0.0035789	0.535714	0.54902	1	23278	23279	23278	1.16981
10.9093	0.0021111	0.693169	0.618597	69	13	30	1	25	-0.0027423	-0.0051807	0.697674	0.623188	1	23962	23959	23959	1.6219
11.1697	0.0013779	1.0578	0.109469	49	0	7	0	42	0	-0.0003871	1	0.142857	1	24561	24513	24513	0.122925
11.2678	0.0046409	0.428369	0.651792	149	54	44	0	51	-0.0006096	-0.0015535	0.44898	0.657718	1	24732	24729	24729	1.87184
11.8648	0.0049841	0.546915	0.790421	336	118	148	0	70	-0.0003981	-0.000446	0.556391	0.791667	1	25790	25789	25789	3.77148
12.2786	0.0013068	0.763483	0.526147	56	7	23	0	26	0	-0.0003148	0.766667	0.535714	1	27067	27050	27050	1.11036
12.7722	0.0013854	0.745865	0.507823	54	7	21	0	26	0	-0.0003828	0.75	0.518519	1	27972	27971	27971	1.03179
13.0363	0.0021633	0.672074	0.572279	162	30	64	0	68	0	-0.0004036	0.680851	0.580247	1	28618	28607	28607	1.33797
