# AlexData of ../../../../../../data/Kati/2014/7 jan 2014/Alex oligo2new 10min.t3r
# BurstSearchParameters:	burstSearchMethodSingle=0	burstSearchMethodDual=2	channel selection=0	M=3	L=40	T=0.0005	LeeWinSize=8	LeeVar=5e-06	MaxIPT=0.00012	MinBurstrate=15000	MaxBurstrate=100000	MinBurstSize=40	MinBurstSizeDex=0	MinBurstSizeAex=0	MaxDuration=0.01	
# FRETparameters:	MaxS=0.750185	MinS=0.280812	MaxPR=1.00852	MinPR=0.758296	MaxTgTr=5	MinTgTr=-5	gamma=1	crosstalk=0.03	directExc=0.03	scaleDonor=1	bg_Dem_Dex=389.7	bg_Aem_Dex=471.18	bg_Dem_Aex=127.37	bg_Aem_Aex=1300	dutyCycleDex=0.547889	dutyCycleAex=0.452111	
# 2637 bursts were analyzed.
# startTime	duration	proximityRatio	stoichiometryRatio	numberOfPhotons	n_Dem_Dex	n_Aem_Dex	n_Dem_Aex	n_Aem_Aex	durationDonor	durationAcceptor	proximityRatioRaw	stoichiometryRatioRaw	type	startIdxDonor	startIdxAcceptor	startIdx	stoichiometryFraction
0.299229	0.0020299	0.342212	0.021714	43	1	2	0	40	-0.0107574	-0.0003702	0.666667	0.0697674	1	719	673	673	0.022196
0.520254	0.0024228	0.615253	-0.0342713	43	0	1	0	42	0	-0.0001857	1	0.0232558	1	1311	1262	1262	-0.0331357
0.657408	0.0015765	0.916723	0.327192	64	2	20	0	42	0	-9.14e-005	0.909091	0.34375	1	1633	1601	1601	0.486308
0.825526	0.0030298	0.0289933	0.996983	78	71	5	0	2	-0.0003871	-0.0018414	0.0657895	0.974359	1	2158	2159	2158	330.461
0.989832	0.00324	0.248325	-0.0199309	51	0	2	0	49	0	-7.04e-005	1	0.0392157	1	2611	2559	2559	-0.0195414
1.13765	0.0019357	0.917503	0.417251	49	2	19	0	28	0	-0.000411	0.904762	0.428571	1	2940	2895	2895	0.716004
1.17392	0.0022044	-0.00468056	0.878119	59	49	2	0	8	-0.0007763	-0.0018851	0.0392157	0.864407	1	3019	3018	3018	7.20473
1.34444	0.0012031	1.08418	0.0618401	52	0	5	0	47	0	-0.0008042	1	0.0961538	1	3468	3415	3415	0.0659164
2.11045	0.0018582	0.880738	0.126563	43	1	6	0	36	0	-0.0006323	0.857143	0.162791	1	5232	5212	5212	0.144902
2.26562	0.0020205	0.931896	0.469031	84	3	37	1	43	-0.0043747	-0.0045764	0.925	0.47619	1	5607	5574	5574	0.883349
