# AlexData of ../../../../../../data/Kati/2014/8 jan 2014/ALEX d+a new 10min.t3r
# BurstSearchParameters:	burstSearchMethodSingle=0	burstSearchMethodDual=2	channel selection=0	M=3	L=40	T=0.0005	LeeWinSize=8	LeeVar=5e-06	MaxIPT=0.00012	MinBurstrate=15000	MaxBurstrate=100000	MinBurstSize=40	MinBurstSizeDex=0	MinBurstSizeAex=0	MaxDuration=0.01	
# FRETparameters:	MaxS=1.08672	MinS=0.750185	MaxPR=0.195964	MinPR=-0.1	MaxTgTr=5	MinTgTr=-5	gamma=1	crosstalk=0.03	directExc=0.03	scaleDonor=1	bg_Dem_Dex=389.7	bg_Aem_Dex=471.18	bg_Dem_Aex=127.37	bg_Aem_Aex=1300	dutyCycleDex=0.547826	dutyCycleAex=0.452174	
# 778 bursts were analyzed.
# startTime	duration	proximityRatio	stoichiometryRatio	numberOfPhotons	n_Dem_Dex	n_Aem_Dex	n_Dem_Aex	n_Aem_Aex	durationDonor	durationAcceptor	proximityRatioRaw	stoichiometryRatioRaw	type	startIdxDonor	startIdxAcceptor	startIdx	stoichiometryFraction
1.73909	0.0013089	0.0409086	0.943493	42	36	3	0	3	0	-0.0010466	0.0769231	0.928571	1	2338	2336	2336	16.697
2.31527	0.0016002	0.626307	0.168681	45	3	6	0	36	-1.47e-005	-0.0017889	0.666667	0.2	1	3058	3059	3058	0.202907
2.68575	0.0013626	-0.0205305	0.829504	51	41	1	0	9	0	-0.0006312	0.0238095	0.823529	1	3701	3700	3700	4.86523
2.95398	0.0015874	0.0374219	0.980509	58	52	4	0	2	0	-0.0076494	0.0714286	0.965517	1	4136	4158	4136	50.3049
3.75424	0.0028609	0.835735	0.0530242	49	1	4	0	44	0	-0.0004895	0.8	0.102041	1	5390	5391	5390	0.0559932
5.80345	0.0024098	-0.519555	-0.00841253	44	0	2	0	42	0	-0.0004538	1	0.0454545	1	8193	8139	8139	-0.00834235
6.48703	0.0032394	1.11903	0.0938542	67	0	9	0	58	0	-0.0008602	1	0.134328	1	9091	9014	9014	0.103575
10.0016	0.0026011	0.0442451	1.02118	77	71	6	0	0	0	-4.63e-005	0.0779221	1	1	13685	13684	13684	-48.2054
10.0266	0.0014346	-0.0126481	0.944427	40	36	1	2	1	0	-0.0046912	0.027027	0.925	1	13791	13794	13791	16.9945
10.0315	0.0011627	0.0267569	0.935344	53	46	3	1	3	0	-0.000708	0.0612245	0.924528	1	13858	13859	13858	14.4664
11.3375	0.0014312	4.07285	0.0023576	45	0	2	1	42	-0.0053193	-0.0010004	1	0.0444444	1	15624	15576	15576	0.00236317
11.3688	0.0028686	0.00388082	0.997514	133	126	5	0	2	-0.0019569	-0.0012279	0.0381679	0.984962	1	15679	15678	15678	401.184
11.4494	0.0008135	0.0608305	0.987845	45	40	4	0	1	-0.0005237	-0.0011889	0.0909091	0.977778	1	15939	15938	15938	81.268
11.7167	0.0016022	1.32487	0.0256111	44	0	3	0	41	0	-0.0008527	1	0.0681818	1	16413	16368	16368	0.0262842
12.5814	0.0013304	-0.0411966	0.946847	43	40	0	1	2	-1.93e-005	-0.0021929	0	0.930233	1	17635	17674	17635	17.8135
12.9849	0.0018705	1.2167	0.0411864	48	0	4	0	44	0	-4.15e-005	1	0.0833333	1	18294	18231	18231	0.0429556
13.1019	0.0019634	0.930449	0.128092	69	1	10	0	58	0	-0.0008664	0.909091	0.15942	1	18455	18456	18455	0.14691
13.1149	0.0021716	1.90614	-0.011577	55	1	1	0	53	0	-0.0034464	0.5	0.0363636	1	18560	18530	18530	-0.0114445
13.1931	0.0008257	0.428379	0.0655053	51	2	3	0	46	-0.0010651	-0.0005879	0.6	0.0980392	1	18716	18713	18713	0.070097
13.6991	0.0020791	0.793215	0.0578784	50	1	4	0	45	0	-0.0004732	0.8	0.1	1	19539	19519	19519	0.0614341
14.2038	0.0038968	0.0171105	0.971471	94	84	5	1	4	0	-0.0010552	0.0561798	0.946809	1	20270	20276	20270	34.0516
14.3865	0.0021808	1.17347	0.0338018	84	0	6	0	78	0	-0.0023151	1	0.0714286	1	20760	20677	20677	0.0349844
14.3918	0.0018337	0.797783	0.0737104	44	1	4	1	38	0	-0.0031508	0.8	0.113636	1	20760	20761	20760	0.079576
14.4045	0.0012077	1.08892	0.0526028	58	0	5	1	52	0	-0.0010347	1	0.0862069	1	20893	20838	20838	0.0555235
14.4121	0.0014618	1.0781	0.0830086	51	0	6	0	45	0	-0.0015854	1	0.117647	1	20970	20908	20908	0.0905227
16.0718	0.0024141	0.0181739	1.00457	97	91	5	0	1	0	-0.0010897	0.0520833	0.989691	1	23310	23309	23309	-219.914
16.9001	0.0029315	-0.0275798	0.959462	61	56	1	0	4	-0.000379	-0.0014673	0.0175439	0.934426	1	24717	24719	24717	23.6684
17.8182	0.003601	0.0305933	0.944637	76	65	5	0	6	0	-0.0004819	0.0714286	0.921053	1	25949	25950	25949	17.0626
17.9947	0.0012707	0.0335155	0.962395	63	56	4	0	3	0	-0.0006685	0.0666667	0.952381	1	26222	26220	26220	25.5925
19.0004	0.0059716	0.0295363	0.978467	157	140	10	1	6	-0.0002516	-0.0027693	0.0666667	0.955414	1	27677	27699	27677	45.4405
21.0474	0.0025924	1.12164	0.0988513	50	0	7	0	43	0	-0.0001223	1	0.14	1	30620	30556	30556	0.109695
